episode,penalty,hard_violations,reward_sum,epsilon,loss
1,1231,13,-11.15,0.97,0.0
2,1231,13,-5.650000000000002,0.9409,0.0
3,1231,13,-13.15,0.912673,0.1438041997827449
4,1231,13,-8.25,0.8852928099999999,0.0450996953373154
5,1231,13,-5.810000000000001,0.8587340256999999,0.03761237906292081
6,1231,13,-16.47,0.8329720049289999,0.22311991301054757
7,1231,13,-6.739999999999999,0.8079828447811299,0.2316708601390322
8,1231,13,-10.499999999999998,0.783743359437696,0.1381370953284204
9,1231,13,-7.560000000000001,0.7602310586545651,0.09386460930109024
10,1231,13,-5.109999999999999,0.7374241268949281,0.1263401297852397
11,1231,13,-12.819999999999999,0.7153014030880802,0.11670899844417969
12,1231,13,-8.040000000000001,0.6938423609954378,0.08953491390372316
13,1231,13,-9.610000000000003,0.6730270901655747,0.12416364178061486
14,1231,13,-7.72,0.6528362774606075,0.11414735397944847
15,1231,13,-7.760000000000001,0.6332511891367892,0.18654544490079086
16,1231,13,-6.919999999999998,0.6142536534626856,0.1253127295523882
17,1231,13,-10.320000000000002,0.595826043858805,0.062297099456191066
18,1231,13,-11.979999999999999,0.5779512625430409,0.09563724206139644
19,1231,13,-7.16,0.5606127246667496,0.15822437703609465
20,1231,13,-6.369999999999999,0.5437943429267471,0.1521971110254526
21,1231,13,-16.150000000000002,0.5274805126389447,0.1682551318158706
22,1231,13,-5.98,0.5116560972597763,0.07114047283927599
23,1231,13,-6.469999999999999,0.496306414341983,0.06985477972775697
24,1231,13,-10.519999999999998,0.48141722191172354,0.0733240487674872
25,1231,13,-9.859999999999998,0.4669747052543718,0.11370927722503742
26,1231,13,-9.379999999999997,0.4529654640967406,0.1296937118594845
27,1231,13,-5.04,0.4393765001738384,0.07132472135126591
28,1231,13,-7.529999999999999,0.42619520516862325,0.07140332404524088
29,1231,13,-14.9,0.4134093490135645,0.07415712835888068
30,1156,10,-12.920000000000002,0.4010070685431576,0.13792620363334815
31,1231,13,-7.069999999999999,0.38897685648686287,0.12172611697266499
32,1231,13,-11.210000000000003,0.377307550792257,0.07636619539310535
33,1128,10,-10.38,0.36598832426848926,0.08154049714406332
34,1231,13,-5.7700000000000005,0.35500867454043455,0.08440888232241074
35,1221,14,-6.64,0.3443584143042215,0.1373460361113151
36,1181,13,-7.02,0.3340276618750948,0.1502682549258073
37,1231,13,-4.36,0.32400683201884195,0.0731855737666289
38,1231,13,-7.25,0.3142866270582767,0.07498822634418806
39,1231,13,-9.08,0.3048580282465284,0.08447777206699053
40,1231,13,-7.57,0.2957122873991326,0.11750241095821062
41,1231,13,-6.3999999999999995,0.2868409187771586,0.1222023569047451
42,1231,13,-5.96,0.27823569121384384,0.06282331341256699
43,1231,13,-6.359999999999999,0.2698886204774285,0.06669351744155089
44,1231,13,-8.45,0.26179196186310566,0.08851318943003814
45,1231,13,-7.809999999999998,0.2539382030072125,0.09268364459276199
46,1231,13,-6.54,0.2463200569169961,0.0880425862967968
47,1161,11,-9.78,0.23893045520948622,0.06243028485526641
48,1097,6,-6.000000000000001,0.23176254155320164,0.06353207162270944
49,1221,14,-2.509999999999999,0.2248096653066056,0.0703096143901348
50,1231,13,-7.629999999999999,0.21806537534740741,0.08308894944687685
51,1231,13,-7.709999999999999,0.2115234140869852,0.08658832404762506
52,1231,13,-11.350000000000001,0.20517771166437562,0.06659821917613347
53,1231,13,-6.55,0.19902238031444436,0.06184944432849685
54,1206,13,-4.249999999999999,0.19305170890501103,0.060267558631797634
55,1231,13,-6.82,0.1872601576378607,0.07069828889022271
56,1231,13,-5.8,0.18164235290872485,0.07382055353373289
57,1144,16,0.9900000000000002,0.1761930823214631,0.0637831563130021
58,1231,13,-7.24,0.17090728985181922,0.06123488278438648
59,1066,9,-5.34,0.16578007115626464,0.05321705921863516
60,1231,13,-9.84,0.1608066690215767,0.05257713745037715
61,1094,6,-9.02,0.1559824689509294,0.06518932714437445
62,1231,13,-9.48,0.1513029948824015,0.05272260857746005
63,1174,10,-6.250000000000001,0.14676390503592945,0.057773106793562574
64,1156,10,-3.9299999999999997,0.14236098788485158,0.06125690961877505
65,1216,13,-14.77,0.13809015824830603,0.06131938245768349
66,1146,9,-8.15,0.13394745350085685,0.07341441636284192
67,1118,12,-5.43,0.12992902989583113,0.06292451042681932
68,1118,12,-8.8,0.1260311589989562,0.06482997272784512
69,1184,13,-5.25,0.12225022422898751,0.05656349410613378
70,1194,10,-7.43,0.11858271750211788,0.062065454696615535
71,1156,10,-3.98,0.11502523597705434,0.06880608753611644
72,1071,6,-11.33,0.1115744788977427,0.06698894913618764
73,1231,13,-5.33,0.10822724453081042,0.06192105850204825
74,1146,9,-5.319999999999999,0.10498042719488611,0.06257065804675221
75,1146,9,-4.699999999999999,0.10183101437903952,0.060509710541615885
76,1231,13,-3.61,0.09877608394766833,0.06686255363747477
77,1118,12,-6.64,0.09581280142923829,0.060500809581329425
78,1118,12,-5.95,0.09293841738636113,0.05934185292571783
79,1118,12,-9.010000000000002,0.09015026486477029,0.06019177461663882
80,1231,13,-3.88,0.08744575691882718,0.05455714814985792
81,1231,13,-4.499999999999999,0.08482238421126237,0.06311725806444883
82,1231,13,-4.799999999999999,0.0822777126849245,0.04952318016439676
83,1231,13,-4.58,0.07980938130437676,0.05349686965346336
84,1146,9,-4.55,0.07741509986524546,0.049403093041231236
85,1071,6,-7.499999999999999,0.0750926468692881,0.047209891180197396
86,1126,14,-0.030000000000000027,0.07283986746320946,0.04072735548640291
87,1118,12,-2.8800000000000003,0.07065467143931317,0.04059493221963446
88,1118,12,-1.1900000000000002,0.06853503129613378,0.03303167512640357
89,1156,10,-8.65,0.06647898035724976,0.03534028219679992
90,1231,13,-4.99,0.06448461094653227,0.03772325152531266
91,1231,13,-5.32,0.06255007261813629,0.042958900798112154
92,1118,12,-7.54,0.0606735704395922,0.03609117791056633
93,1179,9,-3.84,0.05885336332640443,0.03689472371091445
94,1231,13,-5.25,0.057087762426612294,0.03376100364451607
95,1179,9,-5.45,0.05537512955381393,0.03886355794966221
96,1149,9,-7.65,0.053713875667199505,0.03989026326065262
97,1231,13,-5.699999999999999,0.05210245939718352,0.037121245233962936
98,1231,13,-3.900000000000001,0.05053938561526801,0.034706609106312195
